model_version,split,prediction_count,mae,rmse,mape,wape,bias,peak_hour_mae,ramp_mae,directional_accuracy,prediction_latency_ms,training_seconds,training_rows_used
extra_trees_v0_1,validation,3913,600.1913359539423,923.0690739143845,0.6237735596447909,0.6394481512121953,-101.73218585292484,1084.2972671485306,600.1913359539423,92.10324559161769,0.018234858163068378,6.639764200008358,18260
extra_trees_v0_1,test,3913,578.4679739591293,784.2531602573871,0.5963840790432926,0.6032999333510334,-78.9765182697814,864.740805657707,578.4679739591293,92.33324814720164,0.01758246869286139,6.639764200008358,18260
hist_gradient_boosting_v0_1,validation,3913,594.8747366887491,950.9907424838043,0.6100775184215188,0.6337838082481964,-149.0185019455628,1329.4855166734155,594.8747366887491,92.4865831842576,0.010261640685037828,5.334044400005951,18260
hist_gradient_boosting_v0_1,test,3913,570.4313988422058,769.0143636210804,0.5851315118057052,0.5949183712755621,-120.74080572891185,974.9719398556181,570.4313988422058,92.92103245591618,0.010300204446710648,5.334044400005951,18260
linear_svr_v0_1,validation,3913,75600.82903142608,77547.86542726662,79.95425992209769,80.54566512097139,-75600.82903142608,113437.18367346183,75600.82903142608,49.859442882698694,0.0008021466920845859,0.04523249999328982,18260
linear_svr_v0_1,test,3913,77623.97776641195,79174.76255367752,80.48563610919021,80.95615093849113,-77623.97776641195,110153.05612244134,77623.97776641195,51.44390493227703,0.0006913876807407105,0.04523249999328982,18260
svr_rbf_v0_1,validation,3913,9466.419588379697,14011.854167847985,9.293541099770318,10.085591280266046,-3463.0444812106884,34996.77630193882,9466.419588379697,54.612829031433684,0.3139364937389195,0.8728828000021167,6000
svr_rbf_v0_1,test,3913,9093.845532292162,13007.597021002422,8.766678900632655,9.484218056165165,-4754.498669126307,31582.13066252587,9093.845532292162,54.76616406848965,0.315437899310747,0.8728828000021167,6000
mlp_neural_network_v0_1,validation,3913,1096.1256259958072,1410.4634233376041,1.182432481033755,1.1678200984446008,47.968763123959356,1263.639002587337,1096.1256259958072,85.48428315870177,0.0013417071307795833,25.499133399993298,18260
mlp_neural_network_v0_1,test,3913,895.168730381971,1151.3022874630146,0.9383415640105107,0.9335957385525531,96.80089028017163,1179.0799192650265,895.168730381971,87.73319703552261,0.0012060822879144894,25.499133399993298,18260
