split,model_version,prediction_count,mae,rmse,mape,smape,wape,bias,absolute_bias,median_absolute_error,p90_absolute_error,p95_absolute_error,peak_threshold_mw,peak_prediction_count,peak_hour_mae,peak_hour_rmse,peak_hour_bias,ramp_mae,directional_accuracy,overprediction_rate,underprediction_rate,prediction_latency_ms,slice_column,slice_value
test,baseline_lag_168h_exact_v0_1,163,7564.1533742331285,9967.936382417696,8.033143262333063,7.888005203989652,8.268404312649665,637.282208588957,637.282208588957,5539.0,17753.0,21157.800000000003,109017.8,17,11434.470588235294,12816.346671341253,-11025.882352941177,7564.1533742331285,67.48466257668711,49.079754601226995,50.920245398773,0.0,target_hour_of_day,0
test,baseline_lag_168h_exact_v0_1,163,7119.920245398773,9400.49213272493,7.828573291689757,7.69109589099141,8.059719652564802,498.9877300613497,498.9877300613497,4929.0,17005.0,19222.800000000003,105281.8,17,10718.882352941177,12098.999810387828,-10320.29411764706,7119.920245398773,66.87116564417178,45.39877300613497,54.601226993865026,0.0,target_hour_of_day,1
test,baseline_lag_168h_exact_v0_1,163,6862.840490797546,9092.08094891346,7.74490826115316,7.619767191537985,7.983766727100491,377.3680981595092,377.3680981595092,4782.0,16122.000000000004,18960.3,102884.20000000001,17,10754.764705882353,12688.09452388572,-10667.588235294117,6862.840490797546,63.80368098159509,45.39877300613497,54.601226993865026,0.0,target_hour_of_day,2
test,baseline_lag_168h_exact_v0_1,163,6596.80981595092,8726.640122534036,7.586861482040244,7.481778571029647,7.8245475751237485,262.82208588957053,262.82208588957053,4542.0,15882.400000000007,18599.100000000002,99984.8,17,10140.29411764706,12254.512554205348,-9961.588235294117,6596.80981595092,61.34969325153374,46.62576687116564,53.37423312883436,0.0,target_hour_of_day,3
test,baseline_lag_168h_exact_v0_1,163,6443.453987730061,8525.226199974766,7.493993279348332,7.40204141990782,7.729504045268265,179.26993865030676,179.26993865030676,4590.0,15675.800000000003,17935.5,99128.6,17,10780.176470588236,12972.12614665406,-8129.35294117647,6443.453987730061,51.533742331288344,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,4
test,baseline_lag_168h_exact_v0_1,163,6403.257668711656,8435.428428902773,7.438141660794802,7.35648851025932,7.666820752674769,143.3926380368098,143.3926380368098,4648.0,15753.800000000001,17401.4,99516.6,17,10819.235294117647,12947.045084179043,-7656.64705882353,6403.257668711656,50.920245398773,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,5
test,baseline_lag_168h_exact_v0_1,163,6629.361963190184,8710.071509782309,7.548966117040877,7.466981110662285,7.748771894095877,128.96932515337423,128.96932515337423,5069.0,15806.2,18576.2,102287.8,17,12071.588235294117,14327.248635749582,-9731.470588235294,6629.361963190184,64.41717791411043,46.012269938650306,53.987730061349694,0.0,target_hour_of_day,6
test,baseline_lag_168h_exact_v0_1,163,6953.20245398773,9253.928738881366,7.607773788122545,7.512600183707047,7.761077270164337,115.38650306748467,115.38650306748467,5149.0,16456.600000000006,18882.2,107487.20000000001,17,11741.64705882353,14791.379798820028,-8945.882352941177,6953.20245398773,72.39263803680981,46.62576687116564,53.37423312883436,0.0,target_hour_of_day,7
test,baseline_lag_168h_exact_v0_1,163,7220.226993865031,9669.295942863413,7.643040968125005,7.533376891295116,7.767200393291008,156.50920245398774,156.50920245398774,5490.0,17240.600000000006,20629.4,111487.6,17,11908.35294117647,15007.944186526092,-9132.70588235294,7220.226993865031,65.03067484662577,45.39877300613497,54.601226993865026,0.0,target_hour_of_day,8
test,baseline_lag_168h_exact_v0_1,163,7488.128834355828,9859.656761469323,7.768612099981039,7.6501930563612595,7.903838237477713,275.60122699386505,275.60122699386505,5728.0,18219.400000000005,20817.4,113333.8,17,12443.764705882353,14569.088449017465,-9739.764705882353,7488.128834355828,60.122699386503065,45.39877300613497,54.601226993865026,0.0,target_hour_of_day,9
test,baseline_lag_168h_exact_v0_1,163,7799.877300613497,10249.559226794012,7.975795711402113,7.838022783482905,8.14274063317113,430.76073619631904,430.76073619631904,5818.0,17318.6,21121.100000000002,113104.6,17,11636.64705882353,13116.306342062293,-10910.058823529413,7799.877300613497,66.25766871165644,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,10
test,baseline_lag_168h_exact_v0_1,163,8337.276073619632,10985.115450468544,8.406882395433845,8.242004497387896,8.597195670504853,585.1165644171779,585.1165644171779,5758.0,17579.4,22050.800000000003,115049.40000000001,17,12571.0,14128.55269845221,-12304.64705882353,8337.276073619632,64.41717791411043,49.079754601226995,50.920245398773,0.0,target_hour_of_day,11
test,baseline_lag_168h_exact_v0_1,163,8881.576687116565,11798.640388293472,8.802840595605588,8.609507884573892,9.04274785672315,767.9693251533743,767.9693251533743,5905.0,19229.200000000008,23655.3,117252.0,17,13925.235294117647,15700.3299684321,-13782.411764705883,8881.576687116565,60.73619631901841,49.079754601226995,50.920245398773,0.0,target_hour_of_day,12
test,baseline_lag_168h_exact_v0_1,163,9449.147239263804,12638.000976944555,9.192049428192615,8.969173891256473,9.48945530163924,961.1840490797546,961.1840490797546,6866.0,21227.200000000004,26379.900000000012,120855.40000000005,17,14994.176470588236,16364.884325897327,-13139.0,9449.147239263804,58.282208588957054,50.306748466257666,49.693251533742334,0.0,target_hour_of_day,13
test,baseline_lag_168h_exact_v0_1,163,10031.779141104294,13311.420447082963,9.599974202050518,9.357278615941771,9.931523759875995,1156.5766871165645,1156.5766871165645,7193.0,22176.200000000008,26993.800000000007,126035.60000000008,17,15579.764705882353,16797.506838813908,-13340.117647058823,10031.779141104294,58.282208588957054,49.693251533742334,50.306748466257666,0.0,target_hour_of_day,14
test,baseline_lag_168h_exact_v0_1,163,10408.80981595092,13704.598419078935,9.8529819546583,9.59957139045605,10.198732813597317,1295.5950920245398,1295.5950920245398,7706.0,22213.0,26831.1,125807.00000000001,17,15698.764705882353,16714.833012837993,-13069.35294117647,10408.80981595092,55.828220858895705,51.533742331288344,48.466257668711656,0.0,target_hour_of_day,15
test,baseline_lag_168h_exact_v0_1,163,10570.9754601227,13862.659182178108,9.903962427331964,9.64441236237498,10.243928916757707,1371.3680981595091,1371.3680981595091,8157.0,22848.600000000002,27363.3,127156.6,17,15520.588235294117,16468.622532490295,-11008.470588235294,10570.9754601227,58.895705521472394,50.920245398773,49.079754601226995,0.0,target_hour_of_day,16
test,baseline_lag_168h_exact_v0_1,163,10521.552147239263,13765.656168913134,9.709221224000999,9.459843697170676,10.012528701878196,1352.521472392638,1352.521472392638,8077.0,23442.000000000004,27384.30000000001,129185.80000000002,17,14876.764705882353,16112.795625910265,-12800.64705882353,10521.552147239263,57.05521472392638,49.693251533742334,50.306748466257666,0.0,target_hour_of_day,17
test,baseline_lag_168h_exact_v0_1,164,10386.292682926829,13494.076340849822,9.425919681280176,9.197132479359167,9.671725548281461,1259.219512195122,1259.219512195122,7679.0,23083.300000000003,25668.249999999996,131524.1,17,12852.411764705883,14205.299713176644,-10308.411764705883,10386.292682926829,63.41463414634146,48.170731707317074,51.829268292682926,0.0,target_hour_of_day,18
test,baseline_lag_168h_exact_v0_1,163,9884.226993865032,12963.899956407971,8.976351538419733,8.759268394868073,9.221822889925663,1320.1656441717791,1320.1656441717791,7218.0,22945.400000000005,24834.9,131839.0,17,12707.470588235294,14485.755715428133,-12014.882352941177,9884.226993865032,53.987730061349694,47.239263803680984,52.760736196319016,0.0,target_hour_of_day,19
test,baseline_lag_168h_exact_v0_1,163,9374.134969325154,12415.45157123942,8.61560478436545,8.422660097541378,8.865095219255885,1216.6134969325153,1216.6134969325153,6511.0,21634.000000000007,24306.4,129201.40000000001,17,12291.470588235294,14153.966309629173,-12291.470588235294,9374.134969325154,55.828220858895705,48.466257668711656,51.533742331288344,0.0,target_hour_of_day,20
test,baseline_lag_168h_exact_v0_1,163,8963.40490797546,11810.816380618535,8.406338466248119,8.23489504008949,8.658450560868664,1085.3190184049079,1085.3190184049079,6512.0,20088.200000000004,24085.200000000004,124993.60000000002,17,12162.470588235294,13929.368192251008,-11982.941176470587,8963.40490797546,60.73619631901841,48.466257668711656,51.533742331288344,0.0,target_hour_of_day,21
test,baseline_lag_168h_exact_v0_1,163,8500.957055214723,11212.604302816262,8.238072429222175,8.074683191329981,8.493967510048327,985.5582822085889,985.5582822085889,6132.0,19329.4,23166.8,121016.20000000001,17,11515.529411764706,13270.279065286768,-11369.29411764706,8500.957055214723,62.57668711656442,48.466257668711656,51.533742331288344,0.0,target_hour_of_day,22
test,baseline_lag_168h_exact_v0_1,163,7990.349693251534,10524.68677149286,8.120713968466559,7.966696534353942,8.366181670720879,804.079754601227,804.079754601227,6100.0,18331.800000000007,22306.200000000004,114700.20000000001,17,11091.470588235294,12666.756558246563,-10828.058823529413,7990.349693251534,69.32515337423312,49.693251533742334,50.306748466257666,0.0,target_hour_of_day,23
test,baseline_lag_1h_v0_1,163,8599.662576687117,9231.799153658887,9.37535019309619,8.90864078018634,9.400323290459525,8599.662576687117,8599.662576687117,8240.0,13074.200000000003,14441.1,109017.8,17,12795.411764705883,13263.364004123627,12795.411764705883,8599.662576687117,0.0,100.0,0.0,0.0,target_hour_of_day,0
test,baseline_lag_1h_v0_1,163,7168.171779141105,7692.629437891289,8.090544785918544,7.741521513825543,8.114340185009778,7168.171779141105,7168.171779141105,6751.0,10898.2,12456.5,105281.8,17,10174.176470588236,10782.767687379712,10174.176470588236,7168.171779141105,0.0,100.0,0.0,0.0,target_hour_of_day,1
test,baseline_lag_1h_v0_1,163,5522.693251533742,6044.654096574862,6.420197434805092,6.189883770071155,6.42472962685069,5522.693251533742,5522.693251533742,4913.0,9058.800000000001,10315.500000000002,102884.20000000001,17,6501.941176470588,7369.207192572267,6501.941176470588,5522.693251533742,1.2269938650306749,100.0,0.0,0.0,target_hour_of_day,2
test,baseline_lag_1h_v0_1,163,4041.294478527607,4668.656158377202,4.812015331455353,4.6682380191926764,4.793423153698424,4030.398773006135,4030.398773006135,3386.0,7582.400000000002,8526.5,99984.8,17,3907.0588235294117,5076.665429428351,3898.5882352941176,4041.294478527607,0.6134969325153374,98.77300613496932,1.2269938650306749,0.0,target_hour_of_day,3
test,baseline_lag_1h_v0_1,163,2636.9141104294476,3273.021780661888,3.1802895764321932,3.1085871995175443,3.1632162381235056,2598.128834355828,2598.128834355828,2134.0,5533.200000000001,6621.800000000001,99128.6,17,2336.470588235294,3607.698745085864,2260.823529411765,2636.9141104294476,11.65644171779141,95.70552147239265,4.294478527607362,0.0,target_hour_of_day,4
test,baseline_lag_1h_v0_1,163,1274.877300613497,1732.943980771103,1.4981481764276698,1.4824485399309197,1.5264504805448724,790.079754601227,790.079754601227,837.0,2916.8,3598.2000000000007,99516.6,17,1601.7058823529412,2093.6730600437454,224.2941176470588,1274.877300613497,50.920245398773,69.32515337423312,30.67484662576687,0.0,target_hour_of_day,5
test,baseline_lag_1h_v0_1,163,2517.3312883435583,2924.7200285495314,2.9159398134094974,2.9694111157588856,2.942398686865174,-2191.9079754601225,2191.9079754601225,2615.0,4501.800000000002,5072.1,102287.8,17,3380.470588235294,3885.1369723753173,-3349.294117647059,2517.3312883435583,31.28834355828221,15.337423312883436,84.66257668711657,0.0,target_hour_of_day,6
test,baseline_lag_1h_v0_1,163,6127.79754601227,6928.990235749836,6.721784248472097,7.019089031176172,6.839770676208266,-6071.613496932516,6071.613496932516,6819.0,10086.4,10887.6,107487.20000000001,17,9022.70588235294,9252.234941448725,-9022.70588235294,6127.79754601227,3.6809815950920246,4.294478527607362,95.70552147239265,0.0,target_hour_of_day,7
test,baseline_lag_1h_v0_1,163,7404.196319018405,8045.0352170871065,7.836446534607701,8.210246619849652,7.965106444707246,-7404.196319018405,7404.196319018405,8145.0,11220.0,11491.5,111487.6,17,10422.882352941177,10522.061492826562,-10422.882352941177,7404.196319018405,2.4539877300613497,0.0,100.0,0.0,target_hour_of_day,8
test,baseline_lag_1h_v0_1,163,5149.7239263803685,5572.021192138825,5.422205300744031,5.593972321412255,5.435614928930438,-5149.7239263803685,5149.7239263803685,4920.0,7731.600000000001,8984.400000000001,113333.8,17,6545.823529411765,7287.625858059593,-6545.823529411765,5149.7239263803685,14.11042944785276,0.0,100.0,0.0,target_hour_of_day,9
test,baseline_lag_1h_v0_1,163,4143.184049079755,5107.376200193868,4.257891347662987,4.367923554115037,4.32530818202674,-2831.429447852761,2831.429447852761,3666.0,8710.400000000003,10590.800000000001,113104.6,17,7039.176470588235,8245.725438067897,-5319.764705882353,4143.184049079755,20.245398773006134,26.380368098159508,73.61963190184049,0.0,target_hour_of_day,10
test,baseline_lag_1h_v0_1,163,4167.521472392638,5167.706652769655,4.166920787990772,4.256229945914128,4.2974464612678736,-2236.282208588957,2236.282208588957,3538.0,8519.400000000005,10937.300000000005,115049.40000000001,17,8179.882352941177,9082.369942074914,-5564.823529411765,4167.521472392638,6.748466257668712,34.355828220858896,65.6441717791411,0.0,target_hour_of_day,11
test,baseline_lag_1h_v0_1,163,3915.969325153374,5106.036414986251,3.789709092160171,3.882230808647928,3.9870311848335374,-2428.3374233128834,2428.3374233128834,2709.0,9429.200000000013,11523.0,117252.0,17,9873.058823529413,10398.840433093546,-8528.0,3915.969325153374,9.815950920245399,36.809815950920246,63.190184049079754,0.0,target_hour_of_day,12
test,baseline_lag_1h_v0_1,163,3844.7361963190183,5260.515462624869,3.6083452585758007,3.7048702616437508,3.8611370272611336,-2598.5398773006136,2598.5398773006136,2791.0,9132.400000000001,12004.4,120855.40000000005,17,11103.35294117647,11414.200147185084,-10741.70588235294,3844.7361963190183,10.429447852760736,39.263803680981596,60.122699386503065,0.0,target_hour_of_day,13
test,baseline_lag_1h_v0_1,163,3757.0184049079753,5195.1470877929605,3.4525492394359545,3.548789910993126,3.7194715942009444,-2791.7914110429447,2791.7914110429447,2298.0,9664.8,11178.100000000002,126035.60000000008,17,10047.882352941177,10371.370520359797,-9765.058823529413,3757.0184049079753,19.018404907975462,36.19631901840491,63.80368098159509,0.0,target_hour_of_day,14
test,baseline_lag_1h_v0_1,163,3387.239263803681,4596.271476388506,3.0962136760170735,3.1726989778569137,3.318875917429166,-2484.601226993865,2484.601226993865,1880.0,8367.2,9256.9,125807.00000000001,17,7556.941176470588,8007.768118227083,-7319.764705882353,3387.239263803681,15.337423312883436,40.49079754601227,59.50920245398773,0.0,target_hour_of_day,15
test,baseline_lag_1h_v0_1,163,2873.846625766871,3858.950630589248,2.623765502526485,2.6789595271065503,2.7849350954484295,-2183.122699386503,2183.122699386503,1658.0,6833.2,8052.1,127156.6,17,5760.588235294118,5971.361742418853,-5212.588235294118,2873.846625766871,18.404907975460123,37.423312883435585,62.57668711656442,0.0,target_hour_of_day,16
test,baseline_lag_1h_v0_1,163,3138.3006134969323,3771.7655391352987,2.9262601941890756,2.9862984589908477,2.986472388107191,-3024.030674846626,3024.030674846626,2724.0,6022.000000000001,6928.5,129185.80000000002,17,3916.705882352941,4377.44378806251,-3916.705882352941,3138.3006134969323,28.22085889570552,3.6809815950920246,96.31901840490798,0.0,target_hour_of_day,17
test,baseline_lag_1h_v0_1,164,4170.969512195122,4706.714760357361,3.9695158855023416,4.071205054612676,3.8840107460588906,-4036.993902439024,4036.993902439024,3964.5,7201.2000000000035,7970.65,131524.1,17,2457.0588235294117,2858.3602456859153,-1940.3529411764705,4170.969512195122,2.4390243902439024,2.4390243902439024,97.5609756097561,0.0,target_hour_of_day,18
