split,model_version,prediction_count,mae,rmse,mape,smape,wape,bias,absolute_bias,median_absolute_error,p90_absolute_error,p95_absolute_error,peak_threshold_mw,peak_prediction_count,peak_hour_mae,peak_hour_rmse,peak_hour_bias,ramp_mae,directional_accuracy,overprediction_rate,underprediction_rate,prediction_latency_ms,slice_column,slice_value
test,baseline_lag_168h_exact_v0_1,2184,4598.9981684981685,6238.679375315368,5.098990054077769,5.109661738540526,5.2180965858746875,-456.90842490842493,456.90842490842493,3391.0,10540.7,13516.099999999995,101764.7,219,8406.173515981734,9980.714583544283,-5732.018264840182,4598.9981684981685,65.8882783882784,44.642857142857146,55.35714285714286,0.0,target_season,fall
test,baseline_lag_168h_exact_v0_1,990,15023.338383838383,16967.805981185415,14.482421073642492,13.787279563466836,14.174823025395952,4700.738383838384,4700.738383838384,13820.5,25956.3,29445.749999999993,134410.0,99,15727.747474747475,17136.058171191664,-15389.363636363636,15023.338383838383,55.15151515151515,57.07070707070707,42.92929292929293,0.0,target_season,summer
test,baseline_lag_168h_exact_v0_1,739,10494.301759133965,12647.32809935656,10.079448755738031,10.10909091574152,9.970833153498605,-1114.5588633288228,1114.5588633288228,9468.0,20564.0,22257.600000000002,117177.8,74,12600.851351351352,14980.34237827261,-12415.662162162162,10494.301759133965,55.61569688768606,45.87280108254398,54.12719891745602,0.0,target_season,winter
test,baseline_lag_1h_v0_1,2184,3863.9455128205127,4814.795438438791,4.38635246971503,4.380573103710452,4.384094133057397,-13.421703296703297,13.421703296703297,3385.0,8081.0,9542.449999999999,101764.7,219,4305.077625570776,5047.430570174352,-1897.9360730593608,3863.9455128205127,15.384615384615385,51.05311355311355,48.9010989010989,0.0,target_season,fall
test,baseline_lag_1h_v0_1,990,6509.462626262626,7444.753587852212,6.165744901178484,6.133120333141783,6.141809387516921,95.60606060606061,95.60606060606061,6367.5,11564.1,12532.85,134410.0,99,5884.979797979798,6986.882386647745,-2919.4848484848485,6509.462626262626,8.585858585858585,46.76767676767677,53.23232323232323,0.0,target_season,summer
test,baseline_lag_1h_v0_1,739,3391.765899864682,4304.194650883348,3.193708038662374,3.208581652197615,3.222580468857003,-40.83761840324763,40.83761840324763,2832.0,6870.200000000003,8689.200000000003,117177.8,74,4864.7027027027025,5931.799018391857,-1823.837837837838,3391.765899864682,19.485791610284167,58.4573748308525,41.5426251691475,0.0,target_season,winter
test,baseline_lag_24h_exact_v0_1,2184,3796.2715201465203,5160.575343142734,4.256778784979379,4.267387885724683,4.307310142895473,-202.31730769230768,202.31730769230768,2675.5,8707.0,10796.249999999998,101764.7,219,5375.958904109589,6561.196594633075,-2698.5981735159817,3796.2715201465203,67.3992673992674,47.527472527472526,52.472527472527474,0.0,target_season,fall
test,baseline_lag_24h_exact_v0_1,990,5157.520202020202,7127.140262561291,4.89211482253625,4.825377899832726,4.866224420012185,797.120202020202,797.120202020202,3660.0,11773.2,15572.199999999997,134410.0,99,6123.49494949495,7815.222252021043,-3561.6363636363635,5157.520202020202,71.91919191919192,56.060606060606055,43.93939393939394,0.0,target_season,summer
test,baseline_lag_24h_exact_v0_1,739,6476.288227334236,8258.326014979595,6.0678002810290845,6.134799453241323,6.15324305045006,-463.6495263870095,463.6495263870095,5169.0,13736.2,17187.8,117177.8,74,11188.635135135135,13311.804845953713,-7684.2027027027025,6476.288227334236,54.80378890392422,52.368064952638704,47.6319350473613,0.0,target_season,winter
test,baseline_persistence_v0_1,2184,1998.0416666666667,2510.660999661201,2.2636547643962537,2.2641183549665977,2.267009904610023,-6.946428571428571,6.946428571428571,1697.0,4168.400000000001,4981.65,101764.7,219,2208.8447488584475,2590.2444631724306,-491.90410958904107,1998.0416666666667,0.045787545787545784,50.824175824175825,49.13003663003663,0.0,target_season,fall
test,baseline_persistence_v0_1,990,3293.939393939394,3787.8046556139757,3.1127722219630143,3.105652607526395,3.1078983094529486,51.054545454545455,51.054545454545455,3195.5,5845.900000000001,6566.5,134410.0,99,2897.5353535353534,3463.327619792878,-805.030303030303,3293.939393939394,0.0,47.17171717171717,52.82828282828282,0.0,target_season,summer
test,baseline_persistence_v0_1,739,1760.8227334235453,2309.772635244068,1.6590329973223543,1.664757339535148,1.6729907421017778,-24.32746955345061,24.32746955345061,1303.0,3740.6000000000013,4830.800000000001,117177.8,74,2437.554054054054,3127.0858098495096,-532.4459459459459,1760.8227334235453,0.13531799729364005,58.99864682002707,40.8660351826793,0.0,target_season,winter
test,baseline_rolling_24h_v0_1,2184,6475.731074481074,8124.007265502281,7.402131325079508,7.320594523140453,7.347467638115406,-96.04162851037846,96.04162851037846,5434.208333333336,13771.175000000001,15982.139583333324,101764.7,219,12694.797184170473,13677.679651543855,-12694.797184170473,6475.731074481074,52.15201465201466,46.47435897435898,53.52564102564102,0.0,target_season,fall
test,baseline_rolling_24h_v0_1,990,12314.097811447815,14413.547791876063,11.765395005868468,11.526741515865101,11.618599856771096,379.6317340067347,379.6317340067347,11905.708333333343,22822.512499999986,25351.96875,134410.0,99,21420.647306397306,22099.371683398516,-21420.647306397306,12314.097811447815,51.41414141414141,51.41414141414141,48.58585858585859,0.0,target_season,summer
test,baseline_rolling_24h_v0_1,739,5244.077751465945,6683.086251888767,4.99119939899578,4.989167207635078,4.982496740036193,-195.1564614343712,195.1564614343712,4435.041666666686,11107.283333333351,13285.933333333332,117177.8,74,7448.592905405405,9253.961388736185,-6727.916103603603,5244.077751465945,55.074424898511495,50.87956698240866,49.12043301759134,0.0,target_season,winter
test,baseline_rolling_3h_v0_1,2184,3753.101037851038,4643.277292808175,4.268329924437659,4.257986903845209,4.258328225959816,-13.358669108669213,13.358669108669213,3269.666666666686,7764.066666666671,9122.933333333309,101764.7,219,4171.141552511415,4887.460387363947,-2083.65601217656,3753.101037851038,18.58974358974359,50.137362637362635,49.862637362637365,0.0,target_season,fall
test,baseline_rolling_3h_v0_1,990,6420.142087542088,7329.572717253607,6.0847322477371755,6.049653639043672,6.0575336562148365,93.56902356902383,93.56902356902383,6277.833333333343,11344.43333333333,12472.883333333313,134410.0,99,5915.851851851852,6965.261693265215,-3281.515151515153,6420.142087542088,10.909090909090908,46.86868686868687,53.13131313131313,0.0,target_season,summer
test,baseline_rolling_3h_v0_1,739,3238.706359945873,4055.363409053719,3.0548927181010166,3.0652558668810275,3.077155725971808,-39.087054578258666,39.087054578258666,2823.0,6657.066666666651,7976.666666666652,117177.8,74,4543.954954954952,5481.757059781328,-1902.9009009008996,3238.706359945873,24.357239512855212,56.4276048714479,43.5723951285521,0.0,target_season,winter
test,baseline_weighted_weather_naive_v0_1,2184,3486.204490995116,4313.4684838725625,3.9644818576151764,3.954633013677057,3.955503152127394,175.69801205738761,175.69801205738761,3041.231249999997,7205.82375,8192.806249999996,101764.7,219,4242.603691019787,5177.236485582074,-3038.0089421613407,3486.204490995116,33.51648351648351,53.8003663003663,46.1996336996337,0.0,target_season,fall
test,baseline_weighted_weather_naive_v0_1,990,5611.179158249159,6555.943828990385,5.333609772798155,5.2772429789118735,5.294260802747801,724.1911531986539,724.1911531986539,5267.8062500000015,10216.932916666667,11590.146666666675,134410.0,99,6132.649663299663,7205.6811840843575,-4527.346043771043,5611.179158249159,28.484848484848484,52.323232323232325,47.67676767676768,0.0,target_season,summer
test,baseline_weighted_weather_naive_v0_1,739,3702.7411986919255,4639.874608208549,3.4999329125215506,3.4944946403748283,3.5180439394749565,449.2994418132615,449.2994418132615,3150.3875000000116,7506.75499999999,8992.35874999999,117177.8,74,5314.470439189187,6695.702168297998,-3500.2470157657644,3702.7411986919255,38.43031123139377,59.67523680649527,40.32476319350474,0.0,target_season,winter
test,extra_trees_v0_1,2184,507.5302112049275,677.4162590129253,0.5737441779967946,0.5737864415414611,0.5758518627941798,-1.7528922925734076,1.7528922925734076,396.20649305559346,1115.5958555555453,1391.5590826211037,101764.7,219,612.3882912591628,801.1201203667767,98.60884526379304,507.5302112049275,92.03296703296702,50.595238095238095,49.404761904761905,0.02050792230886388,target_season,fall
test,extra_trees_v0_1,990,623.0436185412825,824.7745864520944,0.5860729290561868,0.5866580838631743,0.5878542308163449,-128.0930702493672,128.0930702493672,492.72666666668374,1355.837004901949,1614.431087962948,134410.0,99,954.2129180695911,1266.8433311284598,-687.0843883277361,623.0436185412825,96.86868686868686,44.24242424242424,55.757575757575765,0.020507922308863884,target_season,summer
test,extra_trees_v0_1,739,728.3978599115596,994.5929792208535,0.6771061120240601,0.6787234142890974,0.6920644838730999,-241.40008075209846,241.40008075209846,525.968888888834,1661.2761333333515,1998.4156666666343,117177.8,74,1368.72979429429,1681.8586448163899,-835.8932327327283,728.3978599115596,87.1447902571042,39.512855209742895,60.487144790257105,0.020507922308863884,target_season,winter
test,gradient_boosting_v0_1,2184,549.8957522476239,717.3818873376705,0.622838635978392,0.623498170626976,0.6239204805613877,-77.22755761661678,77.22755761661678,434.15848231335985,1166.0755619780205,1455.488974732132,101764.7,219,662.2661188701608,831.4070097879618,-53.518426325885564,549.8957522476239,91.62087912087912,45.650183150183146,54.34981684981685,0.0022355737263984633,target_season,fall
test,gradient_boosting_v0_1,990,684.277440238557,917.2214750878396,0.6360759025404329,0.6367043055665438,0.6456295776501259,-114.56392568551907,114.56392568551907,535.8348395326975,1380.737027927318,1701.9953389236323,134410.0,99,1231.5972849334148,1670.1359512504218,-802.1343055849168,684.277440238557,96.56565656565657,46.56565656565657,53.43434343434343,0.0022355737263984633,target_season,summer
test,gradient_boosting_v0_1,739,662.7621771353959,860.9678576872686,0.6264571117046919,0.6269896233900483,0.6297027892222403,-119.10139707771351,119.10139707771351,512.6811871667887,1394.5449139594687,1768.0271854145774,117177.8,74,948.5721465308611,1111.0298424740793,-528.3176426476808,662.7621771353959,86.87415426251691,43.16644113667118,56.833558863328825,0.0022355737263984633,target_season,winter
test,hist_gradient_boosting_v0_1,2184,494.3021968468488,647.6148202479795,0.5598418336075002,0.5605219242579909,0.560843146975897,-99.25736282424276,99.25736282424276,387.9600405684978,1059.5655358260076,1278.1149114727639,101764.7,219,590.2451479962571,744.8406937936194,14.725488409626903,494.3021968468488,92.90293040293041,41.98717948717949,58.01282051282052,0.01153381037509886,target_season,fall
test,hist_gradient_boosting_v0_1,990,660.6901143130544,920.24863627598,0.6041826850744876,0.6048905228819459,0.6233744595070099,-124.24063374270658,124.24063374270658,467.86744974713656,1421.7714532749583,1869.9261249358724,134410.0,99,1358.6167523477686,1766.589223547375,-805.1639053699695,660.6901143130544,97.27272727272728,44.84848484848485,55.15151515151515,0.011533810375098865,target_season,summer
test,hist_gradient_boosting_v0_1,739,674.5045366523809,870.2826732071086,0.6343493678933712,0.6353159621319281,0.64085942548633,-179.5432544029856,179.5432544029856,521.6236160480912,1468.444304544677,1797.490860713067,117177.8,74,995.8882381571148,1205.194851826983,-526.381001545693,674.5045366523809,87.1447902571042,40.73071718538566,59.26928281461434,0.01153381037509886,target_season,winter
test,lasso_regression_v0_1,2184,707.9836723016878,961.3562524012008,0.8004845659053298,0.8016926629613883,0.8032895530590886,-13.498696524066084,13.498696524066084,522.2763304060136,1560.1638012713029,2008.0251925332338,101764.7,219,770.0928546570623,988.6635064844606,-88.63831948562229,707.9836723016878,89.05677655677655,54.3040293040293,45.69597069597069,0.0007578584233988168,target_season,fall
test,lasso_regression_v0_1,990,763.1336997582603,949.3775275217821,0.7272277433137682,0.7272715001081514,0.7200320502948845,-76.7456812776584,76.7456812776584,666.5211256564871,1532.1000046872696,1865.4548107701105,134410.0,99,824.8392557477322,1020.9862974991472,-649.6972750605065,763.1336997582603,94.64646464646465,48.08080808080808,51.91919191919192,0.0007578584233988166,target_season,summer
test,lasso_regression_v0_1,739,900.751512812874,1248.6116926012267,0.8434696874742043,0.844795954623377,0.8558209257897114,-96.67238162852436,96.67238162852436,624.2649167121126,2177.5248596048596,2805.859237316594,117177.8,74,1406.9138905511827,1787.1093354516156,-222.747475662827,900.751512812874,85.65629228687416,48.3085250338295,51.6914749661705,0.0007578584233988168,target_season,winter
test,linear_regression_v0_1,2184,708.0417335700099,961.3167107904208,0.8005653600699267,0.8017651436952189,0.8033554302990662,-12.57101000735007,12.57101000735007,522.3089197325025,1559.8582129879187,2007.9761729163135,101764.7,219,769.773593498745,988.4499593227015,-87.94880171393616,708.0417335700099,89.05677655677655,54.395604395604394,45.604395604395606,0.0008254280606479427,target_season,fall
test,linear_regression_v0_1,990,763.0830903371647,949.2626220518996,0.7272350092016139,0.7272719971439721,0.719984299284482,-75.78456854751198,75.78456854751198,667.1210405089369,1531.5358870368539,1864.5247832144269,134410.0,99,824.1547803902972,1020.2089810502107,-648.4480044233179,763.0830903371647,94.64646464646465,48.282828282828284,51.717171717171716,0.0008254280606479427,target_season,summer
test,linear_regression_v0_1,739,900.3706558980028,1248.1989086611459,0.8431141463179646,0.8444255689925737,0.855459066483519,-94.77841537695572,94.77841537695572,624.1415844444127,2178.5879875162036,2803.8584717227377,117177.8,74,1406.6639092853375,1786.8799856667758,-220.98154341402375,900.3706558980028,85.52097428958051,48.714479025710425,51.285520974289575,0.0008254280606479427,target_season,winter
test,linear_svr_v0_1,2184,69875.55082416814,70555.07351720793,79.03196876130586,130.78284787934396,79.2819131108228,-69875.55082416814,69875.55082416814,68935.99999999224,83504.69999999234,87759.99999999226,101764.7,219,88571.76255707,88671.79111242427,-88571.76255707,69875.55082416814,50.824175824175825,0.0,100.0,0.000776105286713443,target_season,fall
test,linear_svr_v0_1,990,87726.0737373661,89816.26680345136,82.20330695850673,139.81570256975397,82.77132140468315,-87726.0737373661,87726.0737373661,84866.49999999235,116149.9999999925,122869.19999999239,134410.0,99,124104.18181817427,124219.89233864435,-124104.18181817427,87726.0737373661,47.17171717171717,0.0,100.0,0.0007761052867134433,target_season,summer
test,linear_svr_v0_1,739,86989.99864681238,87600.0553812828,82.48065011048398,140.44458319869688,82.6508311308569,-86989.99864681238,86989.99864681238,86517.99999999229,98917.79999999228,103589.7999999922,117177.8,74,105411.27027026251,105528.1412374225,-105411.27027026251,86989.99864681238,58.99864682002707,0.0,100.0,0.0007761052867134429,target_season,winter
test,mlp_neural_network_v0_1,2184,836.9311648264194,1072.328401355642,0.9534989348336627,0.9542162929305056,0.9495954322632392,-45.54698737855101,45.54698737855101,694.1018020840929,1712.2926113685362,2093.2264804458136,101764.7,219,903.0455975566662,1166.2468296746742,-584.1186577048013,836.9311648264194,87.17948717948718,49.22161172161172,50.77838827838828,0.0014758497311043678,target_season,fall
test,mlp_neural_network_v0_1,990,896.481535292838,1134.8898304108618,0.8520970479945011,0.8493700185604441,0.8458484248734962,367.40832820148046,367.40832820148046,782.471631772416,1841.6436311974264,2180.7727058637147,134410.0,99,1070.678143572042,1357.5656849855302,881.7312370242349,896.481535292838,94.84848484848484,61.91919191919192,38.08080808080808,0.001475849731104368,target_season,summer
test,mlp_neural_network_v0_1,739,1065.5221354043886,1376.4983646713167,1.0090836113421544,1.0076980556854096,1.012372588221959,154.9692275799746,154.9692275799746,832.4718548025267,2355.5849157439225,2734.2576173321263,117177.8,74,1530.57378503773,1853.783874140888,518.9661101851932,1065.5221354043886,79.83761840324763,53.45060893098782,46.54939106901218,0.0014758497311043682,target_season,winter
test,random_forest_v0_1,2184,591.1962584231775,796.0696672188565,0.668276986949299,0.6683448120627931,0.6707806928019002,7.943133255745691,7.943133255745691,446.0898300727131,1295.4757074414608,1672.8896652303165,101764.7,219,728.4122893531888,941.6400984217743,67.8816797432146,591.1962584231775,90.97985347985347,50.73260073260073,49.26739926739927,0.014700357779720548,target_season,fall
test,random_forest_v0_1,990,768.6801169313434,1044.7457479550237,0.7150986749979962,0.7159391900361775,0.7252652068573464,-137.19631338440823,137.19631338440823,610.1182159679302,1636.385710410758,1939.5404803890806,134410.0,99,1412.0349624483285,1961.6683060868668,-979.4289655650847,768.6801169313434,95.25252525252526,44.64646464646464,55.35353535353536,0.014700357779720542,target_season,summer
test,random_forest_v0_1,739,872.6496165076953,1196.5798609097992,0.8101528223196421,0.8119508572046769,0.8291207864391371,-245.43062370175946,245.43062370175946,618.5242383728182,2053.681776241554,2483.6852468109782,117177.8,74,1560.2859195306992,1920.157095420366,-671.3748026250836,872.6496165076953,85.7916102841678,41.00135317997294,58.99864682002707,0.014700357779720544,target_season,winter
test,ridge_regression_v0_1,2184,707.7319209361697,961.0142070275148,0.8002762821195841,0.8014826987037293,0.8030039119492708,-13.414937833904006,13.414937833904006,522.4283801752317,1557.816848801078,2004.7388552924385,101764.7,219,768.9662127993602,987.6283330476709,-87.84442125182376,707.7319209361697,88.96520146520146,54.34981684981685,45.650183150183146,0.0007604395605301461,target_season,fall
test,ridge_regression_v0_1,990,763.5677947083277,949.770986509786,0.7276493397366876,0.7276926773199897,0.7204416276428889,-76.99248992684127,76.99248992684127,660.5632056884788,1527.2857877623612,1865.027888872308,134410.0,99,825.8585755430189,1022.211268800479,-651.4214784662802,763.5677947083277,94.64646464646465,48.08080808080808,51.91919191919192,0.0007604395605301463,target_season,summer
test,ridge_regression_v0_1,739,899.887515090105,1248.297811704102,0.8426627108399473,0.8439946466241623,0.8550000253299708,-97.90875912983304,97.90875912983304,615.6676788595796,2174.852376206348,2804.5301061362056,117177.8,74,1406.1076022597215,1786.9630109409045,-225.19761301114852,899.887515090105,85.7916102841678,48.17320703653586,51.82679296346414,0.0007604395605301463,target_season,winter
